,Unnamed: 0,texts,questions,answers,urls
71595,71595,"a double payment of Child Benefit for families receiving this payment to be paid in November
a €200 Lump Sum payment for pensioners and people with a disability receiving the Living Alone Allowance
a once off payment of €500 to all carers receiving the Carer’s Support Grant in November
a once off payment of €500 to people receiving Invalidity Pension, Disability Allowance and Blind Pension
a €500 Lump Sum payment to families receiving the Working Family Payment
Further measures also delivered include:
Qualified Child Payments in weekly rates will be increased by €2 in January 2023 bringing them to €50 for Over 12s and €42 for Under 12s
Farming Families – Changes to Farm Assist Means Test from January 2023 to exempt income from Agri-Environmental Schemes up to €5,000
€12 increase in Maternity/Paternity/Adoptive/Parent’s Benefit from January 2023
means assessment threshold for Fuel Allowance increases from €120 to €200 with effect from January 2023",What is the increase in Qualified Child Payments in January 2023?,"The increase in Qualified Child Payments in January 2023 is €2, bringing them to €50 for Over 12s and €42 for Under 12s.",https://www.gov.ie/en/press-release/ea6d3-minister-humphreys-announces-social-protection-budget-worth-22-billion/
357027,357027,"If you are a PAYE worker and have unearned income of over €5,000 you are a chargeable person and you must pay 4% PRSI under Revenue's self-assessment system (Pay and File). Revenue pay the money into the Social Insurance Fund. A record of the contributions you have paid is then sent to the DSP. 
Where to apply
If there is a problem in deciding what class of social insurance you should pay contact:
Information relating to your social insurance record in Ireland is available from:
If you have overpaid PRSI contributions, you can apply for a refund to:
Further information
There are 11 different social insurance classes in Ireland. They are as follows:",What happens to the money paid as PRSI by PAYE workers?,The money paid as PRSI by PAYE workers is paid into the Social Insurance Fund.,https://www.citizensinformation.ie/en/social-welfare/irish-social-welfare-system/social-insurance-prsi/social-insurance-classes/
49427,49427,"7. On [ ], the secretariat of the Tribunal wrote to the applicant’s legal representative asking if the applicant wished to pursue his claim, and, if so to submit the documentation sought, including receipts to vouch his claim for compensation for out-of-pocket expenses. The applicant was informed that, in absence of same, his file would be sent to a Member of the Tribunal for determination.
8. No response to this letter, or the letter of [ ], is on file.
Documents supplied in the case file 
9. The following documents were furnished to the Tribunal Member for determination:
a. Completed application form dated [ ] enclosing:
i. [ ] Hospital patient discharge sheet
b. Acknowledgement letter from Secretariat of the Tribunal to the applicant dated [ ];",What happened when there was no response to the secretariat's letter?,"When there was no response to the secretariat's letter, the applicant's file would be sent to a Member of the Tribunal for determination.",https://www.gov.ie/en/publication/35305-51597-26-august-2022/
92575,92575,"Culture 
Post Project Review of the Pálás Cinema Project
This review examines the income streams, operations, administration and outputs related to the Pálás cinema project and, in particular, assesses the Department's grant management approach.
Review of the Arts and Culture Capital Enhancement Support Scheme (Access II)
This paper reviews the second round of the Arts and Culture Capital Enhancement Support Scheme (ACCESS II). It assess the efficiency and effectiveness with which the scheme was delivered, and highlights learnings from ACCESS II that may be applied to similar schemes in the future.
Justice 
Towards a Framework for Multi-Annual Budgeting: Considerations for An Garda Síochána
This paper assesses the potential application of multi annual budgeting in An Garda Síochána. Set against the background of the ongoing policing reform programme, this paper addresses the criteria required for successful implementation of multi annual budgeting.",What is the purpose of the review of the Arts and Culture Capital Enhancement Support Scheme (ACCESS II)?,The purpose of the review of the Arts and Culture Capital Enhancement Support Scheme (ACCESS II) is to assess the efficiency and effectiveness with which the scheme was delivered. It also highlights learnings from ACCESS II that may be applied to similar schemes in the future.,https://www.gov.ie/en/collection/5915ad-spending-review/
315248,315248,"It is the people that make any organisation. And when I refer to the people in this organisation I am, of course, referring to the full spectrum of the Garda workforce - Gardaí, civilian staff and Reserve members. The best modern police services are those with an integrated workforce, where policing professionals and civilian staff work hand in hand, where their respective skills and expertise are equally recognised and valued, and which harness the energy and enthusiasm of local volunteers.
This is the vision that the government has for An Garda Síochána, a vision of an overall workforce of 21,000 by 2021 comprised of 15,000 Gardaí, 4,000 civilians and 2,000 Reserves.",What is the vision of the government for An Garda Síochána?,"The vision of the government for An Garda Síochána is to have an overall workforce of 21,000 by 2021.",https://www.gov.ie/en/speech/3ad4a7-address-by-charlie-flanagan-td-minister-for-justice-and-equ/
371337,371337,"The CCPC does not get involved in individual consumer issues or individual complaints.
The CCPC uses information from complaints to see where markets are not working well. It may investigate an issue if it feels there might be a breach of the law.
Enforcement
CCPC enforce Irish and European consumer law and competition law in Ireland. The CCPC is also responsible for:
Enforcing product safety regulations
Monitoring compliance with the Grocery Goods Regulations, investigating complaints and taking enforcement action
Advertising of credit facilities by authorised credit intermediaries (they share responsibility for this with the Central Bank)
You can find out more about how CCPC decides to take action.
Registration and licencing
The CCPC has specific responsibility for the authorisation of credit intermediaries and for maintaining the Register of Credit Intermediaries.
The CCPC also has a statutory responsibility to ensure that pawnbrokers are licenced.
Central Bank of Ireland",When does the CCPC investigate an issue?,The CCPC investigates an issue if it feels there might be a breach of the law.,https://www.citizensinformation.ie/en/consumer/how-to-complain/consumer-protection-organisations/
393225,393225,"What are my responsibilities?
Landlord and tenant arrangements
When the repairs are completed, your property will be offered to households who have been approved by the local authority for social housing. If you have agreed a direct lease for your property, tenants will sign a tenancy agreement with the local authority or AHB. The local authority or AHB (acting as the landlord) will manage the property and provide support to its tenants. These properties will not be available to tenants on the Housing Assistance Payment (HAP) or the Rental Accommodation Scheme (RAS).
If you have made an RAA with the local authority or AHB, the tenancy agreement is between you, (the property owner) and the nominated tenant. You are the landlord, and you have landlord’s rights and responsibilities.
Ongoing maintenance, repairs and other charges",What are the responsibilities of the property owner in an RAA?,"In an RAA, the property owner is considered the landlord and has all the rights and responsibilities associated with being a landlord.",https://www.citizensinformation.ie/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/repair-and-leasing-scheme/
305765,305765,"National Action Plan Against Racism Summary 
21 March 2023; Department of Children, Equality, Disability, Integration and Youth; Collection; 
Minister Joe O’Brien announces publication of Ireland’s National Action Plan Against Racism 2023-2027 
21 March 2023; Department of Children, Equality, Disability, Integration and Youth; Press release; 
Minister O’Gorman welcomes publication of the report of the independent review of historical sexual abuse allegations in St. John Ambulance Ireland 
16 March 2023; Department of Children, Equality, Disability, Integration and Youth; Press release; 
Minister Ryan and Minister O’Gorman welcome the convening of the second National Youth Assembly on Climate 
13 March 2023; Department of the Environment, Climate and Communications; Department of Children, Equality, Disability, Integration and Youth; Press release; 
Data Sharing Agreement (DSA) under the Data Sharing and Governance Act 2019 with Mary Immaculate",What is the purpose of the second National Youth Assembly?,The purpose of the second National Youth Assembly is to address climate-related issues.,https://www.gov.ie/en/search/?organisation=department-of-children-equality-disability-integration-and-youth&page=30
117132,117132,"Mayo Telecommunications Survey – Mayo County Council. Funding awarded: €16,244 
The purpose of this project is to survey and digitise all telecommunications ducting infrastructure and other assets under the control of the local authority which could be used for telecommunications purposes and make this information available to the winning bidder for the National Broadband Plan and other telcos or industry as required through a Geographical Information Systems (GIS) Digital Map.
Once this has been completed a report and a guideline document will be prepared and submitted to the Department of Rural and Community Development to assist other counties in mapping their ducting infrastructure.
Offaly 
Free public wifi – Grand Canal Greenway – Offaly County Council. Funding: €40,000",What will be done with the information gathered from the Mayo Telecommunications Survey project?,The information gathered from the Mayo Telecommunications Survey project will be made available to the winning bidder for the National Broadband Plan and other telcos or industry through a Geographical Information Systems (GIS) Digital Map.,https://www.gov.ie/en/publication/381ed8-digital-innovation-programme-2018-funded-projects/
47905,47905,"was property held abroad sold before coming here? If property is held abroad enquire as to the reason. For instance, has it been rented and for how long. A short-term letting may suggest an intention to return to the other country
Future Intentions 
A key factor in determining Habitual Residence is the person’s intentions as apparent from their actions or plans. This is particularly important when considering applications from those who have not been here for long.
The following points could be considered:
are the person’s stated intentions consistent with their plans?
has their family moved here?
are there any restrictions on the person’s ability to undertake employment or self-employment in this country arising from their permission to reside?",What factors can be considered when evaluating a person's intentions?,"The text suggests that factors such as consistent stated intentions, family relocation, and any restrictions on employment or self-employment can be considered when evaluating a person's intentions.",https://www.gov.ie/en/publication/fc9c5e-operational-guidelines-for-deciding-officers-on-the-determination-of/
327504,327504,"2. Implement as a matter of urgency an intensive wraparound service for vulnerable children and young people exposed to and involved in organised crime group, as well as their families, with a view to facilitating their disengagement from such criminal networks.
3. Continue – and increase, where appropriate – resourcing (for example: staff, training, minibus/es) to the two Garda Youth Diversion Projects (CABLE and BOYNE GYDPs), to facilitate their work.
4. Ensure continuing/strengthening of community policing – particularly in the town centre and suburban areas.
5. Consider the implementation of a Joint Agency Response to Crime (JARC) project in the Drogheda area.",What is the suggestion for resourcing the Garda Youth Diversion Projects?,"The suggestion is to continue and increase the resourcing of the two Garda Youth Diversion Projects (CABLE and BOYNE GYDPs), including staff, training, and minibus/es, to support their work.",https://www.gov.ie/en/press-release/8d252-minister-mcentee-publishes-report-of-drogheda-scoping-exercise/
378036,378036,"Documents to bring with you
It is always highly recommended that you bring your passport with you, even if you are travelling to the UK and your passport is not a requirement for travel. In fact, given Ireland is not a member of the Schengen Agreement, you will find that you are required to carry your passport when travelling to most other countries. If you need information about applying for an Irish passport you can find this information elsewhere on this site.
In addition to your passport, other useful documents include:
Your birth certificate
Your driving licence and/or international driving permit
Your student card
Any visas or work permits you may need
European Health Insurance Card and/or other documents relating to health insurance
Your curriculum vitae
Any relevant certificates from education or training courses you have completed
References for work
Emergency contact information
Contact names and numbers of your family/friends/next-of-kin in Ireland",What documents are recommended to bring when travelling to the UK?,"It is recommended to bring your passport when travelling to the UK, even if it is not a requirement.",https://www.citizensinformation.ie/en/moving-country/moving-abroad/leaving-ireland/other-useful-documents/
315410,315410,"In relation to infrastructure, the Minister added:
“There have been very important modernisation projects completed in the last few years and many are ongoing, all contributing to capability. However, there is continuing potential for additional investment in military facilities and, with this in mind, a focussed five year infrastructure programme will be launched in January 2020. This will provide the means to channel available funds to where these will have the strongest impact, while acknowledging the potential for additional investment.”
Notes to the Editor:",What is the Minister's view on additional investment in military facilities?,The Minister acknowledges the potential for additional investment in military facilities and believes there is continuing potential for it.,https://www.gov.ie/en/press-release/faf1b8-white-paper-on-defence-update-2019/
282158,282158,"Renewable energy goal
Retrofitting 500,000 homes
Bringing broadband to every home and business
The move to a Circular Economy
Notes to the Editor
€12.9 billion indicative allocation for the Department of the Environment, Climate and Communications (DECC) to 2030 underpins the commitment to achieving a sustainable, digitally connected and climate neutral Ireland 
up to 80% of electricity generated across the country will be from renewable sources by 2030 
significant carbon tax funds will support the government’s target of retrofitting 500,000 homes to a Building Energy Rating of B2 and the installation of 600,000 heat pumps, of which 400,000 which will be in existing homes by 2030 
€2.7 billion will bring high-speed broadband to every home, school and business in Ireland, no matter how remote – through the National Broadband Plan 
the NDP will provide substantial support for a broad range of climate measures, including Just Transition and the Circular Economy",What is the goal for renewable energy in Ireland by 2030?,The goal for renewable energy in Ireland by 2030 is to have up to 80% of electricity generated across the country from renewable sources.,https://www.gov.ie/en/press-release/f03a4-minister-ryan-welcomes-129-billion-allocation-for-decc-as-part-of-the-ndp-2021-2030-review/
145806,145806,"The Minister for the Environment, Climate and Communications intends to make an order to provide for an increase in the Renewable Transport fuel obligation rate from 1 January 2023 and to update the related buy-out charge amount (expressed on an energy basis). 
In line with the requirements of Article 25(1) of the European Renewable Energy Directive, the Minister also intends to establish an advanced biofuel obligation rate, and corresponding buy-out charge amount. 
The Minister for the Environment, Climate and Communications is required to hold a public consultation for 28 days on each draft regulation. He is seeking views in writing on:
1. Draft order increasing the Renewable Transport Fuel Obligation Rate to 16.985% by energy
2. Draft regulation amending the Renewable Transport Fuel Obligation buy out rate as €0.05 per megajoule
3. Draft order establishing an Advanced Biofuel Obligation Rate obligation rate of 0.3% rate",How long is the public consultation period for each draft regulation?,The public consultation period for each draft regulation is 28 days.,https://www.gov.ie/en/consultation/c0905-consultation-on-2022-increase-to-the-renewable-transport-fuel-obligation-rate-and-the-establishment-of-an-advanced-biofuel-obligation-rate/
215243,215243,"Keelin Fagan, Head of Central Services Exporter Development & Core at Enterprise Ireland, said:
""The Export Compass Series is the all-important ‘first step’ for any company even considering the possibility of exporting, or indeed if you’re in the early stages of your export journey. The aim of Export Compass is to inspire more small to medium-sized businesses to look at the opportunities afforded by exporting. Participants will finish with a clear idea of the right place to look for support with their export plan, and how to reap the many rewards available in the export market.""
Emmet Dunne, Managing Director of web design agency Kooba, will be speaking during the series. He said:",What does Emmet Dunne do?,Emmet Dunne is the Managing Director of web design agency Kooba.,https://www.gov.ie/en/news/3316c-enterprise-ireland-launches-the-export-compass-series
370729,370729,"High Level Homelessness Task Force
was established in July 2020 to provide a forum for key organisations working to address homelessness. It also provides input on the implementation of the commitments on homelessness in the Programme for Government.
Monitoring homelessness levels
The number of people who are homeless is monitored to ensure there are sufficient homeless services and to help develop housing policy. This is done in a number of ways: 
Local authorities carry out assessments of housing need every year. The homeless people included in this assessment are those who are registered with the local authority and have been assessed as being in need of housing. The most recent housing need assessment was carried out in 2020.",What is the role of local authorities in monitoring homelessness?,Local authorities carry out assessments of housing need every year to monitor homelessness levels. They assess those who are registered with the local authority and have been assessed as being in need of housing.,https://www.citizensinformation.ie/en/housing/losing-your-home-and-homelessness/homelessness/
269261,269261,"The PUP figures published this week are in addition to the 162,898 people who were on the Live Register at the end of September.
All COVID-19 Pandemic Unemployment Payments have been paid into recipients’ bank accounts or at their post office on Tuesday, 12 October.
Commenting today, Minister for Social Protection Heather Humphreys said: 
“To date, my department has paid over €8.8 billion in Pandemic Unemployment Payments to almost 900,000 people. This income support has been a vital lifeline for these people and their families. 
“Today, for the first time since the start of the pandemic, the number of people in receipt of the PUP has fallen below the 100,000 mark.
“This is a significant milestone and means that there has been an almost 85 per cent reduction in the number of people receiving the PUP since May 2020 at the height of the pandemic.
“More and more people continue to return to work and the numbers on the PUP have now fallen every single week for the past nine months.","What is the significance of the number of people receiving the PUP falling below the 100,000 mark?","The significance of the number of people receiving the PUP falling below the 100,000 mark is that it indicates a significant reduction in the number of people relying on the PUP since the start of the pandemic.",https://www.gov.ie/en/press-release/c9047-update-on-payments-awarded-for-covid-19-pandemic-unemployment-payment-and-enhanced-illness-benefit-11-october-2021/
2680,2680,"COVID-19 Working/Leave Arrangements
How to apply for Covid-19 Special Leave
Contact Details
COVID-19 Working/Leave Arrangements 
Teachers and SNAs 
Based on the current HSE advice , a person who begins to display COVID-19 symptoms or who has received a positive antigen/PCR test result must self-isolate and cannot attend the workplace.
COVID-19 Special Leave with Pay is available to a teacher or SNA who (a) begins to display COVID-19 symptoms or (b) receives a positive COVID-19 PCR/antigen test result. For further information, please refer to Circular 0038/2022 which details the working arrangements and leave arrangements for teachers and special needs assistants employed in recognised primary and post primary schools.",What are the COVID-19 working/leave arrangements for teachers and SNAs?,The COVID-19 working/leave arrangements for teachers and SNAs are detailed in Circular 0038/2022. It provides information on the working arrangements and leave arrangements for teachers and special needs assistants employed in recognised primary and post primary schools.,https://www.gov.ie/en/service/3393f-coronavirus-covid19-special-leave-with-pay-for-teachers-and-special-needs-assistants-employed-in-recognised-primary-and-post-primary-schools/
397016,397016,"Maladministration – if the Ombudsman finds that the institution acted incorrectly and cannot get the parties involved to agree on a solution, then they will make an official recommendation of what the institution should do. If the institution does not accept the recommendation then the Ombudsman can make a special report to the European Parliament. The Ombudsman’s decisions are not legally binding.
Where to apply
If you have a complaint that is not covered by the Ombudsman one of these bodies may be able to help you. 
Page edited: 9 November 2021",What does the Ombudsman do if they find that an institution acted incorrectly?,"If the Ombudsman finds that an institution acted incorrectly and cannot reach an agreement with the parties involved, they will make an official recommendation of what the institution should do.",https://www.citizensinformation.ie/en/government-in-ireland/european-government/eu-institutions/european-ombudsman/
54968,54968,"The Applicant’s claim is that she was seriously assaulted in the early hours of the [ ] by a known assailant on [ ] when, following a number of altercations starting in a night club, she was attacked with a broken bottle, resulting in a lateral wound to her chin and neck. Following the assault, the Applicant was taken to [ ] from where she was transferred by ambulance to [ ] General Hospital for treatment, where she was required to receive [ ] stitches to her neck, as a result of the injuries she sustained in the attack.",Where was the Applicant taken after the assault?,"After the assault, the Applicant was taken to [ ].",https://www.gov.ie/en/publication/700b3-51760-16-august-2022/
43243,43243,"In light of this, the Department has developed a voluntary regulatory framework and sample licence agreement to assist both homeowners/primary tenants and students who wish to avail of the scheme. This will highlight to homeowners/primary tenants the key issues to consider when renting a room to a student and similarly to students what to expect when accepting an offer of accommodation.
Voluntary Licence Agreement 
As the Rent-a-Room scheme falls outside the Residential Tenancy Act, a standard tenancy agreement does not apply. It is therefore recommended that a written licence agreement is established between the homeowner/primary tenant and the student in advance of taking up the offer of accommodation. A licence agreement means that a person is in the property with the homeowners’ consent or invitation. The Licensor (the homeowner or primary tenant) is the person who grants the licence (occupancy rights of the property) to the Licencee (e.g. the student).",Who is the Licensor in the licence agreement?,The Licensor in the licence agreement is the homeowner or primary tenant who grants the licence (occupancy rights of the property).,https://www.gov.ie/en/publication/be552-rent-a-room-voluntary-regulatory-framework/
180969,180969,"Limerick 	102 	1,167.8	2,276 	
Dublin	710	1,061.8 	14,306 	
Cork	150 	933.0 	5,065 	
Donegal 	72 	926.6 	1,475 	
Galway 	74 	914.9 	2,361 	
Cavan	33	883.5	673 	
Meath 	103 	854.2 	1,666 	
Clare 	23 	835.7	993 	
Kildare	79	786.1 	1,749 	
Tipperary	34 	785.9 	1,254 	
Laois 	17 	776.9	658 	
Offaly	64	750.4	585 	
Roscommon	14 	658.5 	425 	
Kilkenny 	16 	606.7 	602 	
Wicklow	31	587.0 	836 	
Kerry	36	553.8	818 	
Westmeath 	20 	488.9 	434 	
Sligo	25 	462.3 	303 	
Longford 	12 	460.0 	188 	
Leitrim	9 	318.3	102	
the 7-day incidence is 344.9
the 5-day moving average is 2,273",What is the 7-day incidence rate in Limerick?,"The 7-day incidence rate in Limerick is 1,167.8.",https://www.gov.ie/en/press-release/85e9c-statement-from-the-national-public-health-emergency-team-saturday-23-january/
243028,243028,"“Is sa chomhthéacs sin gur thapaigh muid an deis beart a dhéanamh de réir ár mbriathair agus an deontas seo a cheadú do CLG Carna/Caiseal,” a dúirt an tAire Stáit. “Is comhartha é ceadú an deontais seo go bhfuil mo Roinn ag díriú isteach ar chuidiú leis na pobail Ghaeltachta áiseanna caitheamh aimsire sna ceantair Ghaeltachta a fheabhsú. Tá súil agam go mbeidh an deontas seo ina chuidiú don eagraíocht agus páirt ghníomhach á glacadh acu sa phróiseas pleanála teanga agus sna gnáthghníomhaíochtaí agus imeachtaí a bhíonn idir lámha acu freisin.”
Is i gcomhréir leis an ngealltanas atá tugtha i leith an Chláir Tacaíochtaí Pobail agus Teanga faoi ghníomh 2.13, 2.20, 2.22 agus 2.21 uile de Phlean Gníomhaíochta 2018-2022 atá an deontas seo á cheadú.",What is the purpose of the grant mentioned in the text?,The purpose of the grant mentioned in the text is to improve recreational facilities in the Gaeltacht areas.,https://www.gov.ie/en/press-release/49140-deontas-suas-le-9067-no-80-den-chostas-iomlan-cibe-acu-is-lu-ceadaithe-ag-an-aire-stait-kyne-do-clg-carnacaiseal-le-cur-ar-a-chumas-oibreacha-airithe-a-chur-i-gcrich-ar-an-gclubtheach/
130488,130488,"the registration number of the professional operator concerned who issued the initial plant passport or for whom the initial plant passport was issued by the competent authority.
The traceability code referred to in point (1)(f) may also be supplemented by a reference to a unique traceability barcode, hologram, chip or other data carrier, present on the trade unit.
For further information on Plant Passports please consult Regulation (EU) 2017/2313, click here 
Protected Zone 
A protected zone is a zone in the Community in which one or more quarantine organisms are present in the Union territory but are absent from specific parts of the territory despite favourable conditions for them to establish themselves there. Their presence would have an unaccepted economic, social or environmental impact. The list of Protected Zone Pests and EPPO codes for issuing on plant passports can be found here:
New Plant Health Regulations 
Application for Authorisation to Issue Plant Passports",Where can I find more information on Plant Passports?,More information on Plant Passports can be found in Regulation (EU) 2017/2313. You can click on the provided link for further details.,https://www.gov.ie/en/publication/8e660-plant-passports/
194650,194650,"General Information
Meetings 2021
Meetings 2020
Meetings 2019
Meetings 2018
An Advisory Group has been established to facilitate participation in the Marine Spatial Planning (MSP) process by all relevant stakeholders from the economic, environmental and social pillars. The purpose of the Advisory Group is to harness the potential and capacity of a broad range of sectors including representation from the public sector, business, environmental, social and knowledge based sectors to guide strategic thinking and decision-making in the preparation of marine spatial plans. The Advisory Group also informs the work of the Inter Departmental MSP Group and provides updates, reports or recommendations as required.",What is the role of the Inter Departmental MSP Group?,"The role of the Inter Departmental MSP Group is to receive updates, reports, or recommendations from the Advisory Group and use them to inform their work.",https://www.gov.ie/en/publication/d4a6c-national-marine-planning-framework-stakeholder-advisory-group/
1849,1849,"Improve your reading, writing and number skills 
Facility from the National Adult Literacy Agency for users to assess their literacy skills and work to improve them. 
Improve your skills or learn new ones with Skills to Advance 
Skills to Advance aims to give employees the skills to progress in their current job, or to take advantage of new job opportunities 
In-Person Supplementary Programme (to support students with complex needs) 
This programme supports the education or care needs of primary and post primary pupils with complex needs 
Irish Sign Language (ISL) Tuition Scheme 
This scheme provides funding for a tutor to visit the home of a deaf/hard of hearing pre-school child or school-going pupil to provide training in ISL for the child, their sibling(s) and parent(s)/guardian(s) 
Make your qualifications understood in Europe 
Use a Europass CV to apply for jobs or training in Europe 
Mid East Regional Skills Forum",How can a Europass CV be used?,"A Europass CV can be used to apply for jobs or training in Europe, helping to make qualifications understood.",https://www.gov.ie/en/category/education/
14821,14821,"Woodland edge management 
Maintenance of open spaces, rides and glades 
The restoration of former coppice or coppice-with-standards woodland to active coppice management 
Permanent sample plot Inventory 
On application, other related operations, may be approved.
Applications must be accompanied by an existing Forest Management Plan and the Transformation Management Plan.
Rate of payment 
The scheme involves a Continuous Cover Forestry Transformation Management Plan that will run for a period of 12 years with three installments of €750 occurring at intervals throughout the 12 year period.
The first installment will be at year 1 with the final payment issuing within 12 years from the date of completion of works relating to the first intervention.
The middle payment can be paid at any stage during the intervening period. The schedule of payments and timing of these interventions are to be described within the Transformation Management Plan.",What does the restoration of former coppice or coppice-with-standards woodland involve?,The restoration of former coppice or coppice-with-standards woodland involves active coppice management.,https://www.gov.ie/en/service/d54212-woodland-improvement-scheme/
248197,248197,"Commission on Taxation and Welfare 
Commission on the Defence Forces 
Commission to Inquire into Child Abuse 
Commissioners of Irish Lights 
Competition and Consumer Protection Commission (CCPC) 
Cork City Council 
Cork County Council 
Cork Education and Training Board 
Cork Institute of Technology 
Crawford Art Gallery 
Criminal Injuries Compensation Scheme 
Criminal Law Codification Advisory Committee 
Data Protection Commission 
Defence Forces of Ireland 
Dental Council 
Department of Agriculture, Food and the Marine 
Department of Children, Equality, Disability, Integration and Youth 
Department of Defence 
Department of Education 
Department of Enterprise, Trade and Employment 
Department of Finance 
Department of Foreign Affairs 
Department of Further and Higher Education, Research, Innovation and Science 
Department of Health 
Department of Housing, Local Government and Heritage 
Department of Justice 
Department of Public Expenditure, NDP Delivery and Reform",What is the name of the department responsible for justice?,The department responsible for justice is called the Department of Justice.,https://www.gov.ie/en/search/?type=press_releases&organisation=department-of-foreign-affairs&page=11
114231,114231,"Statutory Consultation on proposed works by the OPW as required under Section 42 (6) and (8) of the EU (Birds and Habitats) Regulations 2011, as amended.
Ref: 29/2022 AA Screening and Natura Impact Statement for the Nenagh Arterial Drainage Scheme 2023, Co. Tipperary.
Proposed Works 
The OPW (as the Commissioners of Public Works in Ireland) has statutory responsibility for the maintenance of drainage schemes completed under the Arterial Drainage Acts 1945, as amended.
The OPW propose to complete maintenance works on the Nenagh Arterial Drainage Scheme in Co. Tipperary.
Arterial Drainage Maintenance includes a range of operations such as silt and vegetation management, mowing and structure maintenance. It is required to retain the arterial drainage scheme design capacity and ensure it is maintained in proper repair and effective condition.
The proposed works will be carried out under the Arterial Drainage Acts 1945.
Brief description",What is the purpose of the statutory consultation?,"The purpose of the statutory consultation is to comply with the requirements of Section 42 (6) and (8) of the EU (Birds and Habitats) Regulations 2011, as amended.",https://www.gov.ie/en/consultation/3ad12-nenagh-arterial-drainage-scheme-2023/
233725,233725,"Minister Ryan and Minister O’Gorman welcome the convening of the second National Youth Assembly on Climate 
13 March 2023; Department of the Environment, Climate and Communications; Department of Children, Equality, Disability, Integration and Youth; Press release; 
Government publishes Phase I report of the Land Use Review 
10 March 2023; Department of the Environment, Climate and Communications; Press release; 
Minister Chambers announces increased frequency of Eircodes allocations 
9 March 2023; Department of the Environment, Climate and Communications; Press release; 
Government approves Annex of Actions to Climate Action Plan 2023 
7 March 2023; Department of the Environment, Climate and Communications; Press release; 
Minister Ryan announces significant measures to accelerate the roll out of offshore renewable energy 
7 March 2023; Department of the Environment, Climate and Communications; Press release;",Who announced the increased frequency of Eircodes allocations?,Minister Chambers announced the increased frequency of Eircodes allocations.,https://www.gov.ie/en/search/?type=press_releases&organisation=department-of-the-environment-climate-and-communications&page=7
224023,224023,"Mar Aire Stáit na Gaeltachta, is mór an onóir domsa bheith anseo i bhur measc ar an lá stairiúil tábhachtach seo do phobal na tíre i gcoitinne agus do mhuintir na Gaeilge agus na Gaeltachta ach go háirithe. Tuigim an tábhacht a bhaineann leis an teanga mar chéad teanga oifigiúl an Stáit, cuid luachmhar d’oidhreacht an oileán seo agus, níos tábhachtaí fós, mar theanga bheo i measc pobal ar fud na tíre agus sa Ghaeltacht, ach go háirithe. 
Mar is eol daoibh, is í an Ghaeilge an chéad teanga oifigiúil in Éirinn de réir Airteagal a hocht (8) de 
Bhunreacht na hÉireann. Tá stádas láidir bunreachtúil ag an nGaeilge ón mbliain naoi déag tríocha a seacht (1937) go dtí an lá inniu. Leis an mBille nua seo, tá bunsraith laidir leagtha síos dúinn, mar Stát, chun fíorcheannaireacht a léiriú i dtaobh an teanga a chaomhnú do na glúinte atá le teacht.",Why is it important to preserve the Irish language?,"It is important to preserve the Irish language as it is a significant part of the country's history, culture, and identity. It is also a living language among communities, particularly in the Gaeltacht.",https://www.gov.ie/en/speech/69811-bille-na-dteangacha-oifigiula-leasu-2019/
67184,67184,"The aim of the building regulations is to provide for the safety and welfare of people in and about buildings. The building regulations apply to the design and construction of a new building (including a dwelling) or an extension to an existing building. 
Under Housing for All, the government's housing plan to 2030, a Building Regulations Advisory Body (BRAB), consisting of key construction industry stakeholders across private and the public sectors, will be re-established to advise the Minister on matters relating to the Building Regulations. Existing Building Regulations will be reviewed on an ongoing basis.
The minimum performance requirements that a building must achieve are set out in the second schedule to the building regulations. These requirements are set out in 12 parts (classified as Parts A to M) as follows: -
Part K - Stairways, Ladders, Ramps and Guards:",How many parts are the requirements set out in?,The requirements are set out in 12 parts (classified as Parts A to M).,https://www.gov.ie/en/publication/1d2af-building-regulations/
210807,210807,"Letterkenny 
Letterkenny is, as a Regional Centre in the government’s National Planning Framework, recognising its strategic role as part of the North West City Region. It is already a key urban centre in terms of the regional and national economy and is important as a tourism gateway for County Donegal. Building on this, Letterkenny’s growth ambitions include town centre regeneration, sustainable traffic management with active travel and public transport, increased population, housing, employment, improved water services and enhanced education provision (particularly the Atlantic Technological University).",What is the importance of the Atlantic Technological University in Letterkenny?,The Atlantic Technological University is particularly important in Letterkenny's education provision.,https://www.gov.ie/en/press-release/f4dd2-opw-launches-new-pilot-delivery-model-for-flood-relief-schemes-in-donegal-town-and-letterkenny/
164687,164687,"I have spoken about the partnerships on the Council that allowed us to achieve important progress – with Mexico on Women, Peace and Security; with Niger on Climate and Security; with Norway on the Syria Humanitarian file.
But investing in partnership, and in dialogue, goes well beyond that.
During our term, I have visited and met with my counterparts in Ukraine, Moldova, Turkiye, Saudi Arabia, the UAE, China, Iran, Somalia, Kenya, Lebanon, Egypt, Jordan, Israel and the occupied Palestinian territory – as well of course as London, Paris and Washington.
I’ve consulted intensively with my EU counterparts.
I’ve spent many hours with senior UN officials, understanding what action they need from the Council in order to do their essential work.",What partnerships did the speaker mention in the text?,"The speaker mentioned partnerships with Mexico, Niger, and Norway.",https://www.gov.ie/en/speech/142e9-iiea-seminar-ireland-on-the-un-security-council-statement-by-minister-simon-coveney/
